ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,СЕРЕДНЯ ЦІНА,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ В НАПРЯМКУ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЗАГАЛЬНИЙ VALUE SCORE,СЕРЕДНІЙ VALUE SCORE ПО РИНКУ,ВІДХИЛЕННЯ VALUE ВІД РИНКУ,ПОЗИЦІОНУВАННЯ,КІЛЬКІСТЬ ТУРІВ В НАПРЯМКУ,КІЛЬКІСТЬ ТУРІВ EUROTRIPS,КІЛЬКІСТЬ КОНКУРЕНТНИХ ТУРІВ,ЧАСТКА EUROTRIPS,ЧАСТКА КОНКУРЕНТІВ
ADR-10,Так добре разом: Париж+ Бенілюкс  ,COMPETITOR,Adriatic,Франція,485,366,352,119,133,"37,78%",65,288,"0,68","0,70",-3%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-11,Містична Трансільванія  ,COMPETITOR,Adriatic,Румунія,167,167,160,0,7,"4,38%",14,68,"0,67","0,68",-1%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ADR-12,"Смарагди Польщі: Морське Око, Закопане, Краків ",COMPETITOR,Adriatic,Польща,152,189,147,-37,5,"3,40%",10,53,"0,75","0,60",15%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
ADR-13,Вікенд в Трансільванії  ,COMPETITOR,Adriatic,Румунія,140,167,160,-27,-20,"-12,50%",6,41,"0,60","0,68",-8%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ADR-14,"Прага - місто, яке обрало мене ",COMPETITOR,Adriatic,Чехія,170,204,199,-34,-29,"-14,57%",7,75,"0,71","0,68",4%,РИНКОВА ЦІНА,22,3,19,"0,14","0,86"
ADR-15,"Погляд в минуле: 3 дні в Римі + Помпеї, Неаполь  ",COMPETITOR,Adriatic,Італія,447,340,338,107,109,"32,35%",86,308,"0,68","0,63",5%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-16,Який чудовий Краків + парк Енерджіландія  ,COMPETITOR,Adriatic,Польща,147,189,147,-42,0,"0,00%",8,48,"0,77","0,60",17%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
ADR-17,Прага - моє улюблене місто ,COMPETITOR,Adriatic,Чехія,162,204,199,-42,-37,"-18,59%",5,67,"0,66","0,68",-1%,ДЕШЕВИЙ,22,3,19,"0,14","0,86"
ADR-18,"О Рим, ти цілий світ! ",COMPETITOR,Adriatic,Італія,353,340,338,13,15,"4,52%",60,214,"0,80","0,63",16%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-19,Зустрічаємось в Парижі + Мюнхен та Зальцбург ,COMPETITOR,Adriatic,Франція,344,366,352,-22,-8,"-2,27%",31,147,"0,81","0,70",11%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-20,Веселі канікули: 3 дні в Парижі + Нормандія та Діснейленд!  ,COMPETITOR,Adriatic,Франція,301,366,352,-65,-51,"-14,49%",19,104,"0,72","0,70",2%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-21,Румунія запрошує! Бухарест + замки Трансільванії  ,COMPETITOR,Adriatic,Румунія,162,167,160,-5,2,"1,25%",12,63,"0,72","0,68",4%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
ADR-22,Блискучий вікенд: Дрезден - Прага - Відень - Будапешт  ,COMPETITOR,Adriatic,Польща,239,189,147,50,92,"62,59%",15,140,"0,53","0,60",-7%,ДОРОГИЙ,16,4,12,"0,25","0,75"
ADR-23,Кращі з кращих: Відень-Зальцбург-Мюнхен  ,COMPETITOR,Adriatic,Австрія,239,210,199,29,40,"20,10%",27,144,"0,70","0,63",6%,ДОРОГИЙ,39,3,36,"0,08","0,92"
ADR-24,Який чудовий цей Краків  ,COMPETITOR,Adriatic,Польща,147,189,147,-42,0,"0,00%",8,48,"0,77","0,60",17%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
ADR-25,Приємний вікенд: Краків-Прага-Відень-Будапешт  ,COMPETITOR,Adriatic,Австрія,153,210,199,-57,-46,"-23,12%",9,58,"0,60","0,63",-3%,ДЕШЕВИЙ,39,3,36,"0,08","0,92"
ADR-26,Париж - це пристрасть! Париж - це свято!»,COMPETITOR,Adriatic,Франція,314,366,352,-52,-38,"-10,80%",23,117,"0,70","0,70",0%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-27,"Відпустка класу ""Люкс"" - країни БеНіЛюкс!  ",COMPETITOR,Adriatic,Нідерланди,355,349,348,6,8,"2,16%",18,160,"0,80","0,70",10%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-28,Наш чудовий вікенд: Краків-Дрезден-Прага  ,COMPETITOR,Adriatic,Німеччина,198,238,237,-40,-39,"-16,54%",4,79,"0,73","0,70",3%,ДЕШЕВИЙ,18,0,18,"0,00","1,00"
ADR-29,"Від краю до краю: Париж, Амстердам, Нормандія… ",COMPETITOR,Adriatic,Франція,339,366,352,-27,-13,"-3,69%",29,142,"0,75","0,70",5%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-30,"Французький колорит: Париж, Страсбург та Діснейленд!  ",COMPETITOR,Adriatic,Франція,351,366,352,-15,-1,"-0,28%",34,154,"0,85","0,70",14%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-31,"Vive La France! Мон-Сен-Мішель, Луара та Нормандія! ",COMPETITOR,Adriatic,Франція,390,366,352,24,38,"10,80%",43,193,"0,79","0,70",8%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-32,Гарно так: Париж + Цюрих! ,COMPETITOR,Adriatic,Франція,351,366,352,-15,-1,"-0,28%",34,154,"0,85","0,70",14%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-33,"Швейцарія для тебе... Гріндельвальд, Швейцарська Рів'єра, гора Пілатус + гора Монблан!  ",COMPETITOR,Adriatic,Швейцарія,319,333,334,-14,-15,"-4,35%",14,131,"0,87","0,74",13%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ADR-34,Вікенд в Швейцарію + Зальцбург та Прага! ,COMPETITOR,Adriatic,Швейцарія,254,333,334,-79,-80,"-23,84%",5,66,"0,73","0,74",-2%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ADR-35,Побачення на двох - Венеція і Верона… ,COMPETITOR,Adriatic,Італія,153,340,338,-187,-185,"-54,70%",4,14,"0,47","0,63",-16%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ADR-36,"Смак Тоскани: Флоренція, Сієна та Сан-Джиміньяно  ",COMPETITOR,Adriatic,Італія,396,340,338,56,58,"17,25%",78,257,"0,73","0,63",10%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-37,Прекрасна - як мадонна! Донна Барселона!  ,COMPETITOR,Adriatic,Іспанія,405,538,505,-133,-100,"-19,72%",5,63,"0,66","0,64",3%,ДЕШЕВИЙ,22,2,20,"0,09","0,91"
ADR-38,Австрійський вікенд: Відень - Зальцбург - Прага  ,COMPETITOR,Adriatic,Австрія,234,210,199,24,35,"17,59%",26,139,"0,71","0,63",8%,ДОРОГИЙ,39,3,36,"0,08","0,92"
ADR-39,Міста для поцілунків: Відень-Венеція-Верона  ,COMPETITOR,Adriatic,Італія,297,340,338,-43,-41,"-12,07%",42,158,"0,71","0,63",8%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-40,Незабутня відпустка в Німеччині  ,COMPETITOR,Adriatic,Чехія,342,204,199,138,143,"71,86%",22,247,"0,53","0,68",-15%,ДОРОГИЙ,22,3,19,"0,14","0,86"
ADR-41,Доломітові Альпи Італії: Відпочинок на вершині небес  ,COMPETITOR,Adriatic,Італія,351,340,338,11,13,"3,92%",59,212,"0,73","0,63",10%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-42,"Краса без фільтрів: Зальцбург, Гальштат та озерний край Зальцкаммергут ",COMPETITOR,Adriatic,Австрія,262,210,199,52,63,"31,66%",30,167,"0,69","0,63",5%,ДОРОГИЙ,39,3,36,"0,08","0,92"
ADR-43,Париж та Амстердам збирає друзів!  ,COMPETITOR,Adriatic,Нідерланди,398,349,348,49,51,"14,53%",24,203,"0,77","0,70",7%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-44,Італія моя любов... Венеція-Мілан-Верона  ,COMPETITOR,Adriatic,Італія,193,340,338,-147,-145,"-42,86%",12,54,"0,55","0,63",-8%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ADR-45,"Від Альп до пальм: 3 дні в Барселоні + Зальцбург, Цюрих ",COMPETITOR,Adriatic,Франція,454,366,352,88,102,"28,98%",59,257,"0,50","0,70",-20%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-46,Незабутні моменти в Доломітових Альпах  ,COMPETITOR,Adriatic,Австрія,364,210,199,154,165,"82,91%",39,269,"0,42","0,63",-21%,ДОРОГИЙ,39,3,36,"0,08","0,92"
ADR-47,"Альпійська розкіш: Словенія, Італія та Австрія  ",COMPETITOR,Adriatic,Угорщина,292,162,159,130,133,"83,36%",12,203,"0,47","0,63",-16%,ДОРОГИЙ,12,2,10,"0,17","0,83"
ADR-48,Привіт Париж! (3 дні в Парижі + Нормандія та Діснейленд ,COMPETITOR,Adriatic,Франція,312,366,352,-54,-40,"-11,36%",22,115,"0,67","0,70",-3%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-49,Подаруй собі Amsterdam  ,COMPETITOR,Adriatic,Нідерланди,337,349,348,-12,-11,"-3,02%",14,142,"0,72","0,70",2%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-50,Селфі в Амстердамі ,COMPETITOR,Adriatic,Нідерланди,243,349,348,-106,-105,"-30,07%",5,48,"0,62","0,70",-8%,ДЕШЕВИЙ,32,1,31,"0,03","0,97"
ADR-51,Слідами вікінгів: Стокгольм + Осло  ,COMPETITOR,Adriatic,Норвегія,453,527,538,-74,-85,"-15,80%",3,68,"0,72","0,69",3%,ДЕШЕВИЙ,9,1,8,"0,11","0,89"
ADR-52,"Ах, мій милий Амстердам… ",COMPETITOR,Adriatic,Нідерланди,353,349,348,4,6,"1,58%",17,158,"0,77","0,70",7%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-53,Романтика Адріатики: Хорватія та Чорногорія  ,COMPETITOR,Adriatic,Хорватія,406,379,365,27,42,"11,39%",6,252,"0,66","0,55",12%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
ADR-54,"Подорож Балканами: Хорватія, Чорногорія, Албанія, Македонія та Боснія і Герцеговина  ",COMPETITOR,Adriatic,Хорватія,448,379,365,69,84,"22,91%",7,294,"0,70","0,55",15%,ДОРОГИЙ,9,0,9,"0,00","1,00"
ADR-55,"Ми в Ніццу, в Ніццу з вітерцем  ",COMPETITOR,Adriatic,Франція,470,366,352,104,118,"33,52%",63,273,"0,65","0,70",-6%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-56,Лазурна перлина - Ніцца  ,COMPETITOR,Adriatic,Франція,473,366,352,107,121,"34,38%",64,276,"0,54","0,70",-16%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-57,Тіроль - серце Альп ,COMPETITOR,Adriatic,Австрія,338,210,199,128,139,"69,85%",35,243,"0,54","0,63",-10%,ДОРОГИЙ,39,3,36,"0,08","0,92"
ADR-58,"Венеція - земля кохання і море чар… Портофіно, Мілан, озеро Комо  ",COMPETITOR,Adriatic,Італія,355,340,338,15,17,"5,11%",62,216,"0,76","0,63",13%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-59,"Світ фантазій: Амстердам, Брюссель, Париж + парки розваг!  ",COMPETITOR,Adriatic,Нідерланди,531,349,348,182,184,"52,81%",32,336,"0,62","0,70",-8%,ДОРОГИЙ,32,1,31,"0,03","0,97"
ADR-60,"Земля фіордів, льодовиків... Норвегія... ",COMPETITOR,Adriatic,Норвегія,523,527,538,-5,-16,"-2,88%",4,138,"0,75","0,69",6%,РИНКОВА ЦІНА,9,1,8,"0,11","0,89"
ADR-61,"Італійський вікенд... Венеція, Флоренція, Рим ",COMPETITOR,Adriatic,Італія,248,340,338,-92,-90,"-26,57%",29,109,"0,63","0,63",0%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ADR-62,Вікенд в Берліні  ,COMPETITOR,Adriatic,Німеччина,198,238,237,-40,-39,"-16,54%",4,79,"0,73","0,70",3%,ДЕШЕВИЙ,18,0,18,"0,00","1,00"
ADR-63,"Польськими містами - Краків, Вроцлав, Варшава + Енерджіландія, Африкаріум і аквапарк ",COMPETITOR,Adriatic,Польща,189,189,147,0,42,"28,57%",13,90,"0,69","0,60",9%,ДОРОГИЙ,16,4,12,"0,25","0,75"
ADR-64,"Секрети півночі: Стокгольм, Копенгаген та Гамбурґ  ",COMPETITOR,Adriatic,Швеція,530,336,290,195,241,"83,07%",7,365,"0,46","0,58",-12%,ДОРОГИЙ,8,0,8,"0,00","1,00"
ADR-65,Європейський експрес - від Кракова до Берліна ,COMPETITOR,Adriatic,Німеччина,234,238,237,-4,-3,"-1,37%",8,115,"0,86","0,70",16%,РИНКОВА ЦІНА,18,0,18,"0,00","1,00"
ADR-66,"Три дні релаксу: Будапешт, Егер, Токай + Відень  ",COMPETITOR,Adriatic,Австрія,172,210,199,-38,-27,"-13,57%",17,77,"0,70","0,63",6%,РИНКОВА ЦІНА,39,3,36,"0,08","0,92"
ADR-67,Слідами таємниць і легенд: Вроцлав-Берлін-Дрезден  ,COMPETITOR,Adriatic,Німеччина,198,238,237,-40,-39,"-16,54%",4,79,"0,69","0,70",-1%,ДЕШЕВИЙ,18,0,18,"0,00","1,00"
ADR-68,Дрезден та Берлін - Живи і Подорожуй  ,COMPETITOR,Adriatic,Німеччина,196,238,237,-42,-41,"-17,39%",3,77,"0,73","0,70",3%,ДЕШЕВИЙ,18,0,18,"0,00","1,00"
ADR-69,Італійські канікули на трьох морях ,COMPETITOR,Adriatic,Італія,400,340,338,60,62,"18,43%",80,261,"0,72","0,63",9%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-70,Пригоди в Парижі + Кольмар та Страсбург!  ,COMPETITOR,Adriatic,Франція,352,366,352,-14,0,"0,00%",36,155,"0,81","0,70",11%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-71,Подорож до мрії: Париж та Діснейленд  ,COMPETITOR,Adriatic,Франція,272,366,352,-94,-80,"-22,73%",15,75,"0,70","0,70",0%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ADR-72,"Тур де Франс: Париж, Мон-Сен-Мішель, Луара та Нормандія! ",COMPETITOR,Adriatic,Франція,459,366,352,93,107,"30,40%",61,262,"0,76","0,70",6%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-73,"Магія Скандинавії: Фіорди, Язик Троля, Берген, Льодовик!  ",COMPETITOR,Adriatic,Норвегія,538,527,538,11,0,"0,00%",5,153,"0,76","0,69",7%,РИНКОВА ЦІНА,9,1,8,"0,11","0,89"
ADR-74,Давай разом в Амстердам  ,COMPETITOR,Adriatic,Нідерланди,309,349,348,-40,-39,"-11,08%",10,114,"0,74","0,70",4%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-75,Чорногорія - перлина Балканської Адріатики  ,COMPETITOR,Adriatic,Чорногорія,436,364,369,72,67,"18,16%",13,185,"0,57","0,63",-5%,ДОРОГИЙ,13,1,12,"0,08","0,92"
ADR-76,Морські історії в серці Чорногорії  ,COMPETITOR,Adriatic,Чорногорія,430,364,369,66,61,"16,53%",12,179,"0,58","0,63",-5%,ДОРОГИЙ,13,1,12,"0,08","0,92"
ADR-77,Вдала ідея - відпустка в Чорногорії,COMPETITOR,Adriatic,Чорногорія,354,364,369,-10,-15,"-4,07%",5,103,"0,64","0,63",2%,РИНКОВА ЦІНА,13,1,12,"0,08","0,92"
ADR-78,Знайомство з Норвегією: 4 фіорди + Язик Троля/Берген/Льодовик!» ,COMPETITOR,Adriatic,Норвегія,414,527,538,-114,-125,"-23,14%",2,29,"0,65","0,69",-4%,ДЕШЕВИЙ,9,1,8,"0,11","0,89"
ADR-79,Казкові канікули у Парижі + Нормандія! ,COMPETITOR,Adriatic,Франція,301,366,352,-65,-51,"-14,49%",19,104,"0,72","0,70",2%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-80,"Лігурійське узбережжя - відпочинок в задоволення: Генуя, Флоренція, Венеція  ",COMPETITOR,Adriatic,Італія,355,340,338,15,17,"5,11%",62,216,"0,76","0,63",13%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-81,Грецькі канікули (7 ночей на морі) ,COMPETITOR,Adriatic,Греція,584,420,407,164,178,"43,67%",25,379,"0,43","0,54",-12%,ДОРОГИЙ,28,2,26,"0,07","0,93"
ADR-82,«Італія моя любов... Венеція-Мілан-Верона»,COMPETITOR,Adriatic,Італія,193,340,338,-147,-145,"-42,86%",12,54,"0,55","0,63",-8%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
ADR-83,Еліксир кохання або 3 дні в Парижі: Нормандія + Ельзас,COMPETITOR,Adriatic,Франція,395,366,352,29,43,"12,22%",44,198,"0,81","0,70",11%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-84,Селфі в Парижі + Берлін та Прага!  ,COMPETITOR,Adriatic,Франція,302,366,352,-64,-50,"-14,20%",21,105,"0,70","0,70",0%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-85,Грецькі контрасти (7 ночей на морі в Калітеї)  ,COMPETITOR,Adriatic,Греція,522,420,407,102,115,"28,29%",22,317,"0,50","0,54",-4%,ДОРОГИЙ,28,2,26,"0,07","0,93"
ADR-86,Візьми мене до Греції ,COMPETITOR,Adriatic,Греція,442,420,407,22,36,"8,73%",16,237,"0,59","0,54",5%,РИНКОВА ЦІНА,28,2,26,"0,07","0,93"
ADR-87,Греція - моя любов  ,COMPETITOR,Adriatic,Греція,444,420,407,24,38,"9,23%",17,239,"0,59","0,54",5%,РИНКОВА ЦІНА,28,2,26,"0,07","0,93"
ADR-88,"Казковими містами: Амстердам, Брюссель, Париж ",COMPETITOR,Adriatic,Нідерланди,468,349,348,119,121,"34,68%",29,273,"0,74","0,70",4%,ДОРОГИЙ,32,1,31,"0,03","0,97"
ADR-89,Ласкаво просимо в Стокгольм ,COMPETITOR,Adriatic,Швеція,338,336,290,3,49,"16,75%",6,173,"0,72","0,58",14%,ДОРОГИЙ,8,0,8,"0,00","1,00"
ADR-90,Балтійський дует: Таллінн та Стокгольм  ,COMPETITOR,Adriatic,Швеція,274,336,290,-62,-16,"-5,35%",3,109,"0,63","0,58",5%,РИНКОВА ЦІНА,8,0,8,"0,00","1,00"
ADR-91,Золоті піски Іспанії! (6 ночей на морі)  ,COMPETITOR,Adriatic,Іспанія,708,538,505,170,204,"40,34%",19,366,"0,47","0,64",-16%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ADR-92,Шарм Парижу та розкіш Нормандії!  ,COMPETITOR,Adriatic,Франція,335,366,352,-31,-17,"-4,83%",28,138,"0,83","0,70",12%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-93,"Хвилями Балтійського моря: Таллінн, Гельсінкі, Стокгольм  ",COMPETITOR,Adriatic,Естонія,342,312,312,30,30,"9,70%",2,61,"0,71","0,72",-1%,РИНКОВА ЦІНА,2,0,2,"0,00","1,00"
ADR-94,Незабутній Амстердам  ,COMPETITOR,Adriatic,Нідерланди,218,349,348,-131,-130,"-37,27%",3,23,"0,56","0,70",-14%,ДЕШЕВИЙ,32,1,31,"0,03","0,97"
ADR-95,Ідеальна формула Швейцарії: Пілатус + Матергорн + Сан-Бернардіно та Монблан!  ,COMPETITOR,Adriatic,Швейцарія,426,333,334,92,92,"27,59%",25,238,"0,77","0,74",2%,ДОРОГИЙ,29,1,28,"0,03","0,97"
ADR-96,Прекрасні дні в Швейцарії!  ,COMPETITOR,Adriatic,Швейцарія,230,333,334,-103,-104,"-31,03%",3,42,"0,62","0,74",-12%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ADR-97,"Стильна Франція: Мон-Сен-Мішель, Луара та Нормандія!  ",COMPETITOR,Adriatic,Франція,502,366,352,136,150,"42,61%",68,305,"0,73","0,70",2%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-98,Океан почуттів - Португалія!  ,COMPETITOR,Adriatic,Португалія,873,744,814,129,59,"7,25%",3,328,"0,83","0,74",9%,РИНКОВА ЦІНА,3,0,3,"0,00","1,00"
ADR-99,"Вікенд в Хорватії - сонце, море і термали  ",COMPETITOR,Adriatic,Хорватія,154,379,365,-225,-211,"-57,75%",1,0,"0,46","0,55",-9%,ДЕШЕВИЙ,9,0,9,"0,00","1,00"
ADR-100,"Адріатичні пригоди: Любляна, Загреб, Плітвіцькі озера та острів Крк  ",COMPETITOR,Adriatic,Хорватія,274,379,365,-105,-91,"-24,83%",3,120,"0,67","0,55",12%,ДЕШЕВИЙ,9,0,9,"0,00","1,00"
ADR-101,Солодкий тиждень - Франція та Швейцарія! ,COMPETITOR,Adriatic,Франція,419,366,352,53,67,"19,03%",51,222,"0,74","0,70",4%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-102,"Париж запалює серця… Мюнхен, Дрезден, Прага та Діснейленд  ",COMPETITOR,Adriatic,Франція,272,366,352,-94,-80,"-22,73%",15,75,"0,67","0,70",-3%,ДЕШЕВИЙ,71,3,68,"0,04","0,96"
ADR-103,"Чудеса Швейцарії: Гріндельвальд, Бріенц, Цюрих, Люцерн, Верзаска та Лугано  ",COMPETITOR,Adriatic,Швейцарія,343,333,334,9,9,"2,70%",17,155,"0,84","0,74",10%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ADR-104,Кохання в Льорет-де-Мар (5 ночей на морі)  ,COMPETITOR,Adriatic,Іспанія,828,538,505,289,323,"64,02%",21,486,"0,49","0,64",-15%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ADR-105,"Південна красуня, красуня Іспанія  ",COMPETITOR,Adriatic,Іспанія,632,538,505,93,127,"25,17%",17,290,"0,51","0,64",-12%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ADR-106,Ідеальне літо в Іспанії (5 ночей на морі) ,COMPETITOR,Adriatic,Іспанія,671,538,505,132,166,"32,90%",18,329,"0,48","0,64",-15%,ДОРОГИЙ,22,2,20,"0,09","0,91"
ADR-107,Бажання дам - Амстердам! 3 дні в Амстердамі + парк Кекенхоф,COMPETITOR,Adriatic,Нідерланди,320,349,348,-29,-28,"-7,91%",12,125,"0,75","0,70",5%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-108,Альпійські чари! Швейцарія + Італія + Австрія…  ,COMPETITOR,Adriatic,Швейцарія,362,333,334,29,29,"8,55%",18,174,"0,78","0,74",3%,РИНКОВА ЦІНА,29,1,28,"0,03","0,97"
ADR-109,"Якщо на землі є рай, то це Швейцарія  ",COMPETITOR,Adriatic,Швейцарія,258,333,334,-75,-76,"-22,64%",6,70,"0,72","0,74",-2%,ДЕШЕВИЙ,29,1,28,"0,03","0,97"
ADR-110,Just Hvar. Просто Хвар» (7 ночей на морі в Хорватії)  ,COMPETITOR,Adriatic,Хорватія,548,379,365,168,183,"50,21%",8,394,"0,41","0,55",-14%,ДОРОГИЙ,9,0,9,"0,00","1,00"
ADR-111,Хорватія... Мить насолоди. Острів Хвар  ,COMPETITOR,Adriatic,Хорватія,365,379,365,-15,0,"0,00%",5,211,"0,65","0,55",10%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
ADR-112,"Амстердам від ""А"" до ""М"" або 4 дні в Нідерландах + парк Кекенхоф",COMPETITOR,Adriatic,Нідерланди,385,349,348,36,38,"10,79%",23,190,"0,72","0,70",2%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-113,Вище хмар - Швейцарія..,COMPETITOR,Adriatic,Швейцарія,489,333,334,156,156,"46,63%",28,301,"0,61","0,74",-13%,ДОРОГИЙ,29,1,28,"0,03","0,97"
ADR-114,Країна гір і моря... Моя Чорногорія  ,COMPETITOR,Adriatic,Чорногорія,288,364,369,-77,-82,"-22,09%",2,37,"0,56","0,63",-7%,ДЕШЕВИЙ,13,1,12,"0,08","0,92"
ADR-115,"Казкові три дні на Лазурному березі! Ніцца, Канни та Монако  ",COMPETITOR,Adriatic,Франція,368,366,352,2,16,"4,55%",37,171,"0,71","0,70",1%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-116,Канікули у Франції! Парки розваг + Нормандія!  ,COMPETITOR,Adriatic,Франція,400,366,352,34,48,"13,64%",47,203,"0,74","0,70",4%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-117,"Вітаю, Montenegro!  ",COMPETITOR,Adriatic,Хорватія,263,379,365,-117,-102,"-27,98%",2,109,"0,53","0,55",-1%,ДЕШЕВИЙ,9,0,9,"0,00","1,00"
ADR-118,"Buona sera, Сицилія: Палермо, Катанія, Етна + морський круїз»  ",COMPETITOR,Adriatic,Італія,757,340,338,417,419,"123,98%",106,618,"0,27","0,63",-36%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-119,"Сонячна Апулія: Барі, Матера та Альберобелло  ",COMPETITOR,Adriatic,Італія,553,340,338,213,215,"63,73%",99,414,"0,57","0,63",-6%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-120,Мелодії Адріатичного моря  ,COMPETITOR,Adriatic,Італія,446,340,338,106,108,"31,90%",85,307,"0,56","0,63",-7%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-121,Італія - морська спокуса: 5 ночей на морі в Ріміні  ,COMPETITOR,Adriatic,Італія,362,340,338,22,24,"7,03%",68,223,"0,60","0,63",-3%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
ADR-122,"Під одним небом, Рим та Париж! ",COMPETITOR,Adriatic,Франція,401,366,352,35,49,"13,92%",48,204,"0,69","0,70",-1%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
ADR-123,Тур від кутюр: Париж та Мілан!  ,COMPETITOR,Adriatic,Франція,468,366,352,102,116,"32,95%",62,271,"0,67","0,70",-3%,ДОРОГИЙ,71,3,68,"0,04","0,96"
ADR-124,На хвилинку в Амстердам + парк Кекенхоф  ,COMPETITOR,Adriatic,Нідерланди,303,349,348,-46,-45,"-12,81%",9,108,"0,71","0,70",1%,РИНКОВА ЦІНА,32,1,31,"0,03","0,97"
ADR-125,Яскраві барви Адріатики: 6 ночей на морі в Ріміні  ,COMPETITOR,Adriatic,Італія,389,340,338,49,51,"15,17%",74,250,"0,57","0,63",-6%,ДОРОГИЙ,106,11,95,"0,10","0,90"
ADR-126,"Дивовижні канікули в Нідерландах + 4 парки: ""Fantasialand"", ""Efteling"", ""Keukenhof"" та ""Madurodam""  ",COMPETITOR,Adriatic,Нідерланди,479,349,348,130,132,"37,84%",31,284,"0,62","0,70",-8%,ДОРОГИЙ,32,1,31,"0,03","0,97"
ADR-127,Красуня Албанія  ,COMPETITOR,Adriatic,Албанія,587,514,523,73,65,"12,34%",7,272,"0,57","0,64",-7%,РИНКОВА ЦІНА,9,0,9,"0,00","1,00"
