ID ТУРУ,НАЗВА ТУРУ,ОСНОВНИЙ НАПРЯМОК,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ЗАГАЛЬНИЙ VALUE SCORE,ДЖЕРЕЛО,VALUE SCORE EUROTRIPS,VALUE SCORE COMPETITORS,,,X_line,Y_line,,X_line,Y_line
ACC-48,В полоні Парижа  Діснейленд + Ельзас+ Швейцарія,Франція,"-0,23","0,70",COMPETITOR,,"0,70",,,,,,,
ACC-49,"Фантастична четвірка: Амстердам, Брюссель, Люксембург та Берлін!",Нідерланди,"-0,02","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-50,Бельгія для гурманів або 2 дні в Брюсселі!,Бельгія,"-0,01","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-51,"Лайк там, де Амстердам!",Нідерланди,"-0,40","0,55",COMPETITOR,,"0,55",,,,,,,
ACC-52,"Вікенд в Швейцарію або Фондю для двох!  Берн, Цюріх, Люцерн, Інтерлакен, Гріндельвальд",Швейцарія,"-0,08","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-53,"Зустрінемось в Амстердамі + парк ""Кекенхоф"" і парк розваг Ефтелінг!!!",Нідерланди,"0,03","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-54,"Магія Парижа  Діснейленд, замок Нойшвайнштайн, долина Вахау",Франція,"-0,01","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-55,"Вихідні в Словаччині   Термали, гори і релакс...",Словаччина,"0,00","0,80",COMPETITOR,,"0,80",,,,,,,
ACC-56,"Відпочинок на висоті Швейцарія, Баварія, Австрія  Острів Майнау, Замок Нойшвайнштайн, Світ Сваровскі...",Швейцарія,"0,12","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-57,"Мої найкращі друзі    Амстердам, Брюсель, Париж",Нідерланди,"0,23","0,78",COMPETITOR,,"0,78",,,,,,,
ACC-58,"Дефіле для романтиків: Прага, Мілан, Венеція",Італія,"-0,32","0,62",COMPETITOR,,"0,62",,,,,,,
ACC-59,Знайомство з Казанова! Відень+Верона+Венеція,Італія,"-0,16","0,74",COMPETITOR,,"0,74",,,,,,,
ACC-60,"Коротке побачення в Італії: Верона, Мілан, Венеція",Італія,"0,01","0,81",COMPETITOR,,"0,81",,,,,,,
ACC-61,Солодкий круасан - Париж,Франція,"-0,33","0,64",COMPETITOR,,"0,64",,,,,,,
ACC-62,"Happy days або 5 столиць!!! ...Берлін, Прага, Відень, Будапешт та Варшава...",Німеччина,"-0,01","0,78",COMPETITOR,,"0,78",,,,,,,
ACC-63,"Французький реверанс  Париж, Нормандія, Мон-Сен-Мішель, Аквітанія, Замки Луари, Ельзас",Франція,"0,78","0,56",COMPETITOR,,"0,56",,,,,,,
ACC-64,"Яскраві нотки Італії: 2 дні в Римі + Флоренція, Венеція",Італія,"-0,14","0,67",COMPETITOR,,"0,67",,,,,,,
ACC-65,"Сто причин любити Італію, і перша - Рим! Флоренція + Венеція!",Італія,"0,36","0,69",COMPETITOR,,"0,69",,,,,,,
ACC-66,"Моя Португалія  Лісабон, Порту, Сінтра, Мадрид, Барселона, Ніцца, Монако!",Португалія,"-0,33","0,56",COMPETITOR,,"0,56",,,,,,,
ACC-67,"Швейцарський вікенд + Баварія Цюріх, Люцерн + Мюнхен та Відень",Швейцарія,"-0,44","0,60",COMPETITOR,,"0,60",,,,,,,
ACC-68,Мій Італійський вікенд: Венеція+Верона,Італія,"-0,53","0,48",COMPETITOR,,"0,48",,,,,,,
ACC-69,Вікенд в Доломітах: озеро Блед+озеро Мольвено+Венеція,Італія,"-0,35","0,65",COMPETITOR,,"0,65",,,,,,,
ACC-70,Заряд бадьорості: Доломітові Альпи+Адріатичне море Італії,Італія,"-0,07","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-71,Знайомтесь - Німеччина: Берлін + Потсдам + Дрезден + Саксонська Швейцарія,Німеччина,"-0,11","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-72,"Кращі коліжанки Чеського королівства + SPA релакс  Прага, Дрезден, Карлові Вари",Чехія,"0,17","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-73,"Вихідні в Італії  Флоренція, Рим, Венеція",Італія,"-0,27","0,67",COMPETITOR,,"0,67",,,,,,,
ACC-74,Особливий вікенд: Любляна + Венеція,Італія,"-0,32","0,71",COMPETITOR,,"0,71",,,,,,,
ACC-75,"Соковитий вікенд: Верона, Рим, Венеція!",Італія,"-0,25","0,64",COMPETITOR,,"0,64",,,,,,,
ACC-76,Під прапором Греції... Салоніки + Метеори + Афіни + Дельфи,Греція,"0,18","0,68",COMPETITOR,,"0,68",,,,,,,
ACC-77,Любовне зізнання: Відень + Прага!,Австрія,"0,23","0,69",COMPETITOR,,"0,69",,,,,,,
ACC-78,"Мелодії Альп... Швейцарія, Баварія, Австрія +Майнау –острів весняних мрій...",Швейцарія,"-0,19","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-79,"Чао, Італія! 2 дні в Римі + Флоренція і Венеція!",Італія,"0,21","0,74",COMPETITOR,,"0,74",,,,,,,
ACC-80,Секрет вічності… Рим + Флоренція і Венеція,Італія,"0,00","0,71",COMPETITOR,,"0,71",,,,,,,
ACC-81,"Таємнича Греція:  Салоніки, Афіни, Метеори",Греція,"-0,17","0,61",COMPETITOR,,"0,61",,,,,,,
ACC-82,"Скажемо «чііііз» в Італії: 3 дні в Римі + Неаполь, Флоренція і Венеція",Італія,"0,31","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-83,"Завжди на висоті... Італія! Флоренція, Рим, Венеція + Доломітові Альпи",Італія,"0,31","0,69",COMPETITOR,,"0,69",,,,,,,
ACC-84,Грація Північної Італії,Італія,"0,47","0,63",COMPETITOR,,"0,63",,,,,,,
ACC-85,Пригоди невгамовних або ще більше Італії + Сан-Марино,Італія,"0,64","0,57",COMPETITOR,,"0,57",,,,,,,
ACC-86,Найкращі хвилини в Італії!,Італія,"-0,09","0,83",COMPETITOR,,"0,83",,,,,,,
ACC-87,"Стильна Італія... Трієст, Мілан, озеро Комо, Верона!",Італія,"0,17","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-88,"Вікенд на трьох! Краків, Відень, Будапешт",Австрія,"-0,16","0,76",COMPETITOR,,"0,76",,,,,,,
ACC-89,"Мелодії Альп...  Швейцарія, Баварія, Австрія...",Швейцарія,"-0,19","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-90,Італійська пригода: 2 дні в Римі + Адріатичне узбережжя,Італія,"0,06","0,75",COMPETITOR,,"0,75",,,,,,,
ACC-91,https://www.accordtour.com/tours/660106/tab/tab_price/tour_date/2026-04-29/cls_number_adult_cnt/%7B1:1%7D/cls_number_child_age/%7B%7D/tour_include_ins/true,Італія,"-0,49","0,77",COMPETITOR,,"0,77",,,,,,,
ACC-92,Ритми моди:Париж+Мілан,Італія,"0,44","0,62",COMPETITOR,,"0,62",,,,,,,
ACC-93,Фіорди Півночі!!!,Норвегія,"0,06","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-94,Вихідні в Ельзасі + Швейцарія,Швейцарія,"-0,17","0,74",COMPETITOR,,"0,74",,,,,,,
ACC-95,"Мікс щасливих емоцій  Ніцца, Монако, Портофіно",Італія,"-0,39","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-96,Три щасливі дні  Прага + Дрезден,Чехія,"-0,04","0,79",COMPETITOR,,"0,79",,,,,,,
ACC-97,Французький поцілунок!!!,Франція,"-0,30","0,66",COMPETITOR,,"0,66",,,,,,,
ACC-98,Вікенд з видом на море: Венеція + відпочинок на Адріатичному морі Італії,Італія,"-0,52","0,48",COMPETITOR,,"0,48",,,,,,,
ACC-99,В хорошому настрої:  Салоніки + Метеори + відпочинок на Егейському морі,Греція,"-0,42","0,50",COMPETITOR,,"0,50",,,,,,,
ACC-100,Натхненний вікенд в Трансільванії...,Румунія,"0,06","0,86",COMPETITOR,,"0,86",,,,,,,
ACC-101,Вище неба: відпочинок у Доломітових Альпах Італії,Італія,"0,13","0,65",COMPETITOR,,"0,65",,,,,,,
ACC-102,"Лазурові пригоди  Ніцца, Монако, Канни, Прованс",Франція,"-0,07","0,74",COMPETITOR,,"0,74",,,,,,,
ACC-103,"Олімпійський привіт: Салоніки, Афіни, Метеори",Греція,"-0,22","0,59",COMPETITOR,,"0,59",,,,,,,
ACC-104,"Там, де Північ зустрічається з Півднем… Амстердам+Мілан+Венеція!",Нідерланди,"-0,02","0,73",COMPETITOR,,"0,73",,,,,,,
ACC-105,"Лазурова відпустка  Ніцца, Канни, Монако, Сан Ремо, Портофіно",Італія,"0,42","0,64",COMPETITOR,,"0,64",,,,,,,
